request_type,name,response_time_ms,response_length
GET,/city/info/[city],119.66145801125094,119
GET,/city/[city],137.7030419826042,63
GET,/city/[city],132.7595410111826,62
GET,/cities,137.63012498384342,957
GET,/city/info/[city],153.12787500442937,120
GET,/cities,150.2358750149142,957
POST,/routes/heatmap,110.19445801503025,434
POST,/routes/heatmap,109.65854200185277,434
GET,/routes/shortest,109.5752909895964,80
GET,/routes/random-points,121.87758399522863,29
GET,/routes/random-points,110.70920899510384,29
GET,/routes/random-points,120.27695900178514,15
GET,/routes/random-points,120.69850001716986,36
GET,/city/[city],165.2083329972811,62
GET,/city/info/[city],128.9221670012921,122
GET,/city/[city],138.13683300395496,62
POST,/routes/heatmap,133.6658750078641,434
GET,/city/[city],144.48387498850934,63
GET,/cities,171.26954198465683,957
GET,/city/[city],180.30804200679995,64
GET,/city/[city],159.54083399265073,63
GET,/city/info/[city],193.47616701270454,117
GET,/city/info/[city],194.26241700421087,117
GET,/cities,213.6400000017602,957
GET,/city/info/[city],195.0636669935193,117
POST,/routes/heatmap,176.94720899453387,434
POST,/routes/heatmap,175.83045799983665,434
GET,/routes/most-used,176.44370801281184,2821
GET,/routes/most-used,175.6310419877991,2821
GET,/routes/random-points,177.57391699706204,22
GET,/cities,183.73079199227504,957
GET,/routes/random-points,190.58612498338334,36
POST,/routes/heatmap,188.7160420010332,434
GET,/cities,232.44504199828953,957
GET,/city/[city],220.70870801690035,61
GET,/routes/random-points,221.36958301416598,36
GET,/routes/shortest,221.36774999671616,107
GET,/routes/most-used,217.58391600451432,2821
GET,/city/[city],225.80841698800214,66
GET,/cities,260.92416601022705,957
GET,/cities,280.60662499046884,957
GET,/city/info/[city],242.70533298840746,119
GET,/city/info/[city],242.13900000904687,116
GET,/city/info/[city],247.14745898381807,119
POST,/routes/heatmap,244.75420798989944,434
GET,/routes/shortest,244.45145798381418,82
GET,/city/[city],282.4855000071693,63
GET,/cities,286.5599590004422,957
GET,/cities,281.9888749800157,957
GET,/city/[city],293.7099999981001,63
GET,/city/info/[city],289.1384999966249,117
GET,/cities,318.6252909945324,957
GET,/city/info/[city],280.5937080120202,115
GET,/cities,303.76433400670066,957
GET,/routes/shortest,278.01829102099873,134
GET,/routes/shortest,279.9176249827724,107
GET,/city/info/[city],315.90145800146274,118
GET,/city/info/[city],317.1918749867473,116
POST,/routes/heatmap,288.5336670151446,434
GET,/cities,317.0773749880027,957
GET,/city/[city],322.3224170214962,63
GET,/city/[city],324.165499972878,63
GET,/city/info/[city],324.2335830000229,119
GET,/cities,337.78408300713636,957
GET,/city/[city],330.90608299244195,66
GET,/routes/most-used,315.64079198869877,2821
GET,/routes/shortest,312.702041992452,134
GET,/cities,339.8946670058649,957
GET,/city/info/[city],341.82279199012555,117
GET,/cities,352.3758329974953,957
GET,/city/[city],350.47908301930875,63
GET,/cities,353.7902079988271,957
GET,/city/info/[city],354.65349999140017,117
GET,/routes/most-used,336.5562079998199,2821
GET,/routes/shortest,339.18704200186767,86
GET,/city/info/[city],365.5761250120122,120
GET,/city/[city],362.4088750220835,63
GET,/cities,362.8220419923309,957
POST,/routes/heatmap,352.8366250102408,434
