Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cities,20080,0,12000.0,15398.717142735315,4.599584004608914,180961.649667006,957.0,66.60265784919102,0.0,12000,15000,19000,19000,20000,32000,118000,150000,178000,181000,181000
GET,/city/[city],20170,0,12000.0,15078.730390287637,4.591125005390495,181080.44662501197,62.70674268715915,66.90117573795732,0.0,12000,15000,18000,19000,20000,21000,114000,146000,178000,181000,181000
GET,/city/info/[city],19763,0,12000.0,15497.209691658096,4.37262500054203,180961.68412500992,118.97986135708142,65.55121150764751,0.0,12000,15000,19000,19000,20000,38000,116000,148000,177000,181000,181000
POST,/routes/heatmap,8380,534,14000.0,26247.302253466776,8.010958990780637,257847.06304201973,406.3441527446301,27.795332309572746,1.7712061400133468,14000,18000,20000,21000,105000,134000,179000,222000,253000,258000,258000
GET,/routes/most-used,8265,536,14000.0,26596.29300919276,8.26891598990187,257841.00933300215,2638.0531155474896,27.413892785038037,1.77783987087482,14000,18000,20000,21000,107000,134000,175000,217000,253000,258000,258000
GET,/routes/random-points,8356,485,14000.0,25624.087123715504,1.6799579898361117,256503.80408400088,20.744853997127812,27.71572753923507,1.6086797339072532,14000,18000,20000,21000,81000,135000,176000,218000,252000,257000,257000
GET,/routes/shortest,8344,544,14000.0,26565.09870654987,13.864415988791734,257841.46225001314,95.3534276126558,27.675925154066228,1.804374794320713,14000,18000,20000,21000,107000,135000,172000,215000,254000,258000,258000
,Aggregated,93358,2099,13000.0,19228.779510622633,1.6799579898361117,257847.06304201973,524.9726857901841,309.6559228827079,6.962100539116133,13000,16000,19000,20000,21000,107000,136000,167000,247000,256000,258000
