request_type,name,response_time_ms,response_length
GET,/cities,63.76983399968594,957
POST,/routes/heatmap,56.2866669788491,434
GET,/cities,86.19529200950637,957
GET,/cities,84.16004100581631,957
GET,/city/[city],85.06754200789146,62
GET,/city/info/[city],84.20758400461636,119
GET,/routes/shortest,103.40291701140814,102
GET,/routes/most-used,105.7610829884652,2821
GET,/routes/most-used,104.9822079949081,2821
GET,/routes/random-points,105.38375002215616,36
POST,/routes/heatmap,105.81645800266415,434
GET,/city/[city],129.1482919768896,61
GET,/city/info/[city],130.24254099582322,117
GET,/cities,130.10125001892447,957
GET,/cities,129.98662499012426,957
GET,/city/info/[city],129.86879199161194,124
GET,/cities,129.51912501011975,957
GET,/city/[city],129.4292919919826,62
GET,/cities,129.32337500387803,957
GET,/city/info/[city],129.00987500324845,122
GET,/city/info/[city],128.8426669780165,119
GET,/city/info/[city],132.06041598459706,119
GET,/city/[city],137.03429099405184,62
GET,/city/[city],140.57570899603888,66
GET,/cities,144.59854198503308,957
GET,/cities,155.81825000117533,957
GET,/city/info/[city],146.51629197760485,119
GET,/city/[city],153.75945801497437,59
GET,/cities,153.24154100380838,957
GET,/cities,168.60600002110004,957
GET,/city/info/[city],173.72024999349378,124
GET,/cities,178.07637501391582,957
GET,/city/[city],177.8187920281198,66
GET,/city/info/[city],176.09095899388194,117
GET,/city/info/[city],189.0031669754535,119
GET,/cities,191.1830420140177,957
GET,/routes/shortest,182.9420420108363,122
GET,/routes/most-used,169.05499997665174,2821
GET,/routes/shortest,168.70812501292676,107
GET,/routes/shortest,183.94595800782554,122
POST,/routes/heatmap,183.72674999409355,434
POST,/routes/heatmap,183.99079199298285,434
GET,/city/[city],194.2638329928741,63
GET,/cities,208.34958300110884,957
GET,/city/[city],205.06370801012963,69
GET,/city/info/[city],211.04745799675584,115
GET,/city/[city],220.27708400855772,63
GET,/cities,220.22170899435878,957
POST,/routes/heatmap,211.82650001719594,434
POST,/routes/heatmap,211.47012498113327,434
POST,/routes/heatmap,202.001666999422,434
GET,/city/[city],222.17908399761654,63
GET,/cities,227.04562501166947,957
GET,/city/[city],226.00529200281017,69
GET,/routes/most-used,219.22050000284798,2821
GET,/routes/most-used,217.67979199648835,2821
GET,/city/info/[city],235.36154098110273,126
GET,/city/[city],234.02949998853728,62
GET,/city/info/[city],244.96004200773314,116
GET,/city/[city],244.6630830236245,60
GET,/routes/shortest,245.51700000301935,80
GET,/routes/shortest,244.49854099657387,134
