Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cities,7873,1533,15000.0,38117.826399789185,48.52195899002254,230536.41904200776,770.6566747110377,26.160114501947092,5.093795952176412,15000,19000,22000,79000,134000,136000,187000,206000,221000,231000,231000
GET,/city/Atlanta,527,95,15000.0,36372.316749032136,302.5456250179559,210249.82462497428,50.00379506641366,1.7510961949099602,0.31566250192874046,15000,19000,22000,54000,134000,136000,204000,206000,210000,210000,210000
GET,/city/Boston,540,105,15000.0,35879.016350079146,80.6927910016384,216392.90308300406,48.333333333333336,1.7942921162265246,0.34889013371071315,15000,19000,21000,57000,134000,136000,175000,204000,216000,216000,216000
GET,/city/Buffalo,543,97,16000.0,38192.83986736216,220.99837500718422,219680.71474999306,50.92449355432781,1.8042604057611165,0.322308028285135,16000,19000,21000,57000,135000,142000,204000,210000,220000,220000,220000
GET,/city/Chicago,581,113,15000.0,36067.84451053384,65.90233402675949,225410.77666700585,49.94148020654045,1.9305254065326127,0.3754722391362913,15000,19000,22000,35000,134000,136000,174000,202000,225000,225000,225000
GET,/city/Denver,568,105,15000.0,35374.32635290305,90.85979199153371,235130.88845898164,48.90845070422535,1.8873294852160483,0.34889013371071315,15000,19000,21000,32000,134000,136000,162000,205000,235000,235000,235000
GET,/city/Houston,535,111,16000.0,41436.701415945165,59.65845799073577,230811.51262499043,49.13644859813084,1.7776783003355383,0.36882671277989676,16000,19000,27000,112000,135000,136000,205000,212000,231000,231000,231000
GET,/city/Kansas%20City,545,93,15000.0,36227.61841146977,76.82408299297094,215906.08220899594,54.737614678899085,1.8109059321175112,0.3090169755723459,15000,19000,21000,40000,135000,136000,204000,208000,216000,216000,216000
GET,/city/Los%20Angeles,489,88,15000.0,39755.22399085062,518.1811669899616,228493.72195801698,54.122699386503065,1.624831194138464,0.2924031596813596,15000,19000,22000,108000,135000,140000,204000,207000,228000,228000,228000
GET,/city/Miami,505,102,15000.0,38705.75457474101,70.07287500891834,212572.74445801158,47.08316831683168,1.6779954049896204,0.3389218441761213,15000,20000,23000,92000,134000,136000,173000,204000,213000,213000,213000
GET,/city/Nashville,508,86,15000.0,35085.77415716108,254.44891600636765,208314.25204098923,53.16535433070866,1.6879636945242122,0.28575763332496507,15000,19000,21000,34000,134000,136000,175000,204000,208000,208000,208000
GET,/city/New%20York,545,110,15000.0,37260.8840049027,74.55879199551418,211759.42249997752,50.28440366972477,1.8109059321175112,0.36550394960169946,15000,19000,21000,74000,134000,136000,175000,202000,212000,212000,212000
GET,/city/Phoenix,550,100,15000.0,36620.75543780361,90.97616700455546,224637.8687499964,51.54545454545455,1.8275197480084975,0.33227631781972683,15000,19000,22000,76000,134000,136000,167000,195000,225000,225000,225000
GET,/city/Portland,577,113,15000.0,38986.68135441585,60.31437500496395,233344.27420800785,50.66204506065858,1.9172343538198235,0.3754722391362913,15000,20000,22000,100000,134000,136000,204000,216000,233000,233000,233000
GET,/city/Salt%20Lake%20City,538,104,15000.0,37440.66533641509,49.76745799649507,218130.12091699056,55.66171003717472,1.7876465898701301,0.34556737053251585,15000,19000,22000,80000,134000,136000,174000,195000,218000,218000,218000
GET,/city/Seattle,571,137,16000.0,40847.47937732699,21.401959005743265,207674.52641599812,46.364273204903675,1.89729777475064,0.4552185554130257,16000,20000,44000,112000,134000,136000,157000,181000,208000,208000,208000
GET,/city/info/Atlanta,528,104,15000.0,36323.08566644015,193.5948749887757,211709.73249999224,93.95454545454545,1.7544189580881575,0.34556737053251585,15000,19000,22000,64000,134000,136000,173000,204000,212000,212000,212000
GET,/city/info/Boston,559,112,15000.0,39437.68939491796,220.69124999688938,211813.81308400887,92.75849731663685,1.8574246166122728,0.372149475958094,15000,19000,22000,108000,135000,141000,203000,205000,212000,212000,212000
GET,/city/info/Buffalo,537,111,15000.0,38766.72864408779,295.2942499832716,215361.23933302588,92.81564245810056,1.784323826691933,0.36882671277989676,15000,19000,21000,109000,135000,140000,191000,206000,215000,215000,215000
GET,/city/info/Chicago,507,91,15000.0,35467.61329240599,165.9707919752691,220469.42824998405,97.64102564102564,1.684640931346015,0.3023714492159514,15000,19000,21000,31000,135000,136000,200000,214000,220000,220000,220000
GET,/city/info/Denver,522,122,16000.0,42739.78757120585,49.69545899075456,276282.156124973,88.88888888888889,1.7344823790189738,0.4053771077400667,16000,21000,34000,112000,135000,136000,174000,204000,276000,276000,276000
GET,/city/info/Houston,510,97,15000.0,35002.19019630137,265.7987920101732,204506.82758298353,96.36666666666666,1.6946092208806067,0.322308028285135,15000,19000,21000,34000,134000,136000,142000,188000,205000,205000,205000
GET,/city/info/Kansas%20City,528,90,15000.0,33066.23244081435,84.06729201669805,210218.89920899412,101.20454545454545,1.7544189580881575,0.29904868603775414,15000,19000,21000,22000,134000,136000,175000,204000,210000,210000,210000
GET,/city/info/Los%20Angeles,506,99,15000.0,38438.048626033735,93.27662497526035,226921.21004199726,99.73913043478261,1.6813181681678175,0.32895355464152953,15000,20000,22000,79000,135000,136000,195000,208000,227000,227000,227000
GET,/city/info/Miami,516,100,16000.0,37696.10239066876,55.07320800097659,222079.62141599273,92.71317829457364,1.7145457999497904,0.33227631781972683,16000,20000,22000,74000,134000,136000,174000,208000,222000,222000,222000
