Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/cities,8385,897,12000.0,27877.527858847705,3.612749999998499,219900.5535,854.6232558139535,27.87246083233193,2.9817051122959737,12000,17000,20000,21000,116000,135000,170000,183000,197000,220000,220000
GET,/city/Atlanta,541,42,12000.0,24337.713516027732,53.29749999999933,201027.75079199998,56.26432532347505,1.7983305080848628,0.13961161060917604,12000,17000,20000,21000,62000,134000,165000,184000,201000,201000,201000
GET,/city/Boston,533,43,11000.0,24974.885324305807,46.692458999999076,240593.005625,55.15947467166979,1.7717378203497816,0.14293569657606117,11000,16000,19000,20000,108000,135000,173000,183000,241000,241000,241000
GET,/city/Buffalo,558,58,13000.0,29447.6776004122,3.832582999997669,210933.79854200003,55.55555555555556,1.8548399695219102,0.19279698607933834,13000,17000,20000,21000,133000,136000,174000,184000,211000,211000,211000
GET,/city/Chicago,528,56,12000.0,25767.107562562498,11.11458299999768,197774.12299999996,55.42424242424242,1.7551173905153559,0.18614881414556805,12000,16000,20000,21000,109000,135000,150000,176000,198000,198000,198000
GET,/city/Denver,558,52,15000.0,28124.56207683333,79.76366699999815,204994.16875,54.40860215053763,1.8548399695219102,0.17285247027802747,15000,17000,20000,21000,130000,135000,182000,186000,205000,205000,205000
GET,/city/Houston,590,63,13000.0,28431.064971761007,67.7552499999976,194606.580958,55.37966101694915,1.9612107204622349,0.20941741591376406,13000,17000,20000,21000,114000,135000,176000,186000,195000,195000,195000
GET,/city/Kansas%20City,569,59,11000.0,27722.379009297,90.51495799999998,219347.18220799998,59.156414762741655,1.8914049151576469,0.19612107204622348,11000,17000,20000,21000,115000,135000,173000,186000,219000,219000,219000
GET,/city/Los%20Angeles,527,56,14000.0,26004.23738385578,59.97616599999844,187567.010333,58.98671726755218,1.7517933045484708,0.18614881414556805,14000,17000,20000,21000,110000,134000,136000,183000,188000,188000,188000
GET,/city/Miami,587,71,12000.0,30563.730805018757,56.510375000002,202710.72866700002,51.863713798977855,1.9512384625615793,0.2360101036488452,12000,17000,20000,21000,133000,136000,183000,189000,203000,203000,203000
GET,/city/Nashville,583,70,14000.0,30411.41283331902,3.7795000000002688,193346.75941700005,56.315608919382505,1.9379421186940389,0.23268601768196007,14000,17000,20000,21000,133000,135000,173000,184000,193000,193000,193000
GET,/city/New%20York,558,62,12000.0,27216.261500069875,3.378124999997567,188903.79845899998,56.0,1.8548399695219102,0.2060933299468789,13000,17000,20000,21000,111000,135000,144000,179000,189000,189000,189000
GET,/city/Phoenix,563,53,14000.0,26593.61342057549,54.22374999999846,189765.75862500002,57.06927175843695,1.871460399356336,0.17617655624491263,14000,17000,21000,21000,109000,134000,163000,184000,190000,190000,190000
GET,/city/Portland,551,59,12000.0,28466.32406299636,4.286167000000063,209931.118042,56.254083484573506,1.8315713677537142,0.19612107204622348,12000,17000,20000,21000,133000,136000,174000,187000,210000,210000,210000
GET,/city/Salt%20Lake%20City,568,56,11000.0,26588.26648694721,117.55745800000028,197557.823209,62.19718309859155,1.8880808291907616,0.18614881414556805,11000,17000,20000,21000,112000,135000,173000,184000,198000,198000,198000
GET,/city/Seattle,537,58,12000.0,28405.769792681567,34.922000000001674,198105.452458,54.411545623836126,1.7850341642173222,0.19279698607933834,12000,17000,20000,21000,133000,135000,157000,183000,198000,198000,198000
GET,/city/info/Atlanta,543,65,12000.0,28762.074276793723,3.5285840000014446,224753.66970799997,102.99447513812154,1.804978680018633,0.21606558784753435,12000,17000,20000,21000,133000,135000,170000,183000,225000,225000,225000
GET,/city/info/Boston,550,66,12000.0,31352.890302961816,3.6976660000007655,214012.681334,102.08,1.828247281786829,0.21938967381441948,12000,17000,20000,22000,133000,136000,181000,189000,214000,214000,214000
GET,/city/info/Buffalo,542,52,15000.0,28455.87588608487,53.53229099999979,208841.7965,105.77490774907749,1.8016545940517479,0.17285247027802747,15000,17000,20000,21000,117000,135000,183000,189000,209000,209000,209000
GET,/city/info/Chicago,579,68,12000.0,27869.308574003462,57.12812499999842,219453.50141599998,105.02417962003454,1.9246457748264982,0.22603784574818978,12000,17000,20000,21000,119000,135000,158000,182000,219000,219000,219000
GET,/city/info/Denver,546,60,15000.0,28492.917184597096,60.07474999999829,193960.05387500004,103.25274725274726,1.8149509379192885,0.1994451580131086,15000,17000,20000,21000,116000,135000,175000,183000,194000,194000,194000
GET,/city/info/Houston,563,52,12000.0,26421.74352193784,54.68325000000007,186043.36937500004,108.0088809946714,1.871460399356336,0.17285247027802747,12000,17000,20000,21000,112000,135000,168000,178000,186000,186000,186000
GET,/city/info/Kansas%20City,608,63,12000.0,26074.447569000004,3.575290999997094,194881.33895799995,109.35855263157895,2.0210442678661673,0.20941741591376406,12000,17000,20000,21000,111000,135000,142000,177000,195000,195000,195000
GET,/city/info/Los%20Angeles,546,54,12000.0,28778.72085964835,54.220916999998536,199173.79741699997,111.73626373626374,1.8149509379192885,0.17950064221179776,13000,17000,20000,21000,133000,136000,182000,188000,199000,199000,199000
GET,/city/info/Miami,558,57,12000.0,27671.075711096775,4.088333000002109,189658.276542,103.25268817204301,1.8548399695219102,0.18947290011245319,12000,17000,20000,21000,115000,135000,164000,182000,190000,190000,190000
GET,/city/info/Nashville,506,58,11000.0,27868.25299564034,43.3219170000001,200090.37125,105.3596837944664,1.6819874992438828,0.19279698607933834,11000,16000,20000,21000,115000,136000,145000,182000,200000,200000,200000
GET,/city/info/New%20York,541,50,11000.0,26890.317082203317,18.03720900000272,197052.400708,108.909426987061,1.7983305080848628,0.16620429834425718,11000,16000,20000,21000,114000,136000,170000,183000,197000,197000,197000
GET,/city/info/Phoenix,565,55,13000.0,28163.567277815935,3.564374999999842,193184.82570800002,107.41592920353982,1.8781085712901062,0.1828247281786829,13000,17000,20000,21000,115000,135000,170000,184000,193000,193000,193000
GET,/city/info/Portland,560,63,15000.0,31419.901988821443,3.782791999999091,220345.590291,104.725,1.8614881414556805,0.20941741591376406,16000,17000,20000,21000,133000,136000,184000,190000,220000,220000,220000
GET,/city/info/Salt%20Lake%20City,543,60,11000.0,25931.742042517497,33.2112500000008,195367.39937499998,112.07734806629834,1.804978680018633,0.1994451580131086,11000,16000,20000,21000,110000,134000,136000,176000,195000,195000,195000
GET,/city/info/Seattle,569,72,14000.0,27832.779619142377,59.456583999999424,197726.55275,102.195079086116,1.8914049151576469,0.23933418961573036,14000,17000,20000,21000,113000,134000,136000,174000,198000,198000,198000
GET,/health,8966,926,140.0,17851.5177545777,3.1225839999997618,255502.073833,38.55900066919474,29.8037547790922,3.078103605335643,140,190,220,260,114000,135000,158000,168000,199000,256000,256000
POST,/routes/heatmap,8382,849,12000.0,27726.025112054922,6.090874999998164,219459.243417,390.0408017179671,27.862488574431275,2.822148985885487,12000,17000,20000,21000,118000,135000,171000,184000,197000,219000,219000
GET,/routes/most-used,4160,428,12000.0,27936.16351047142,6.741083999997954,219567.28549999997,2530.7625,13.828197622242199,1.4227087938268415,12000,17000,20000,21000,114000,135000,173000,183000,211000,220000,220000
