request_type,name,response_time_ms,response_length
GET,/city/Portland,172.84829200000118,63
POST,/routes/heatmap,175.93291699999725,434
GET,/city/info/Boston,171.64054199999867,116
GET,/city/Chicago,179.18766699999722,62
GET,/routes/most-used,189.19712499999974,2821
POST,/routes/heatmap,194.1732079999987,434
GET,/routes/random-points?count=4,194.08995899999937,29
GET,/city/info/Portland,199.05062499999815,118
GET,/city/info/Phoenix,199.46237500000308,119
GET,/city/Salt%20Lake%20City,201.75316699999968,69
GET,/routes/most-used,209.6034170000003,2821
GET,/routes/random-points?count=2,210.92004199999792,15
POST,/routes/heatmap,221.39516700000073,434
GET,/routes/most-used?date=2025-11-01,221.8799159999989,2821
GET,/city/info/New%20York,222.05679200000006,120
POST,/routes/heatmap,228.28533399999884,434
GET,/health,227.724417000001,43
GET,/city/info/Buffalo,235.1352079999991,117
GET,/cities,237.30520899999874,957
GET,/health,235.04262500000195,43
GET,/health,238.69229199999964,43
GET,/cities,241.15141699999754,957
GET,/cities,238.72454199999993,957
POST,/routes/heatmap,248.01641599999869,434
GET,/health,249.75616600000095,43
GET,/health,256.06166700000085,43
GET,/city/Los%20Angeles,250.437625,66
GET,/city/Atlanta,267.36187499999886,61
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,263.52574999999945,102
POST,/routes/heatmap,275.5847080000002,434
GET,/health,272.3028339999978,43
GET,/routes/most-used?date=2025-11-01,293.47845899999925,2821
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,287.11854200000175,102
POST,/routes/heatmap,303.20195799999897,434
GET,/city/info/Boston,299.31354200000015,116
POST,/routes/heatmap,299.8978749999992,434
GET,/routes/random-points?count=3,300.47550000000103,22
GET,/routes/random-points?count=2,307.35791600000084,15
GET,/city/Phoenix,316.09962499999966,63
GET,/routes/random-points?count=4,316.5866659999992,29
POST,/routes/heatmap,318.30850000000055,434
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,318.2264169999982,134
POST,/routes/heatmap,340.20408299999974,434
GET,/routes/most-used,342.4318749999991,2821
GET,/routes/shortest?fromName=Denver&toName=Phoenix,341.9272080000013,80
GET,/routes/most-used?date=2025-11-01,342.27116599999977,2821
GET,/health,340.3554159999977,43
GET,/routes/most-used?date=2025-11-01,350.55404199999884,2821
GET,/city/Seattle,353.63508300000035,61
GET,/cities,352.4068329999999,957
GET,/health,354.8604169999976,43
GET,/city/info/Denver,359.3960420000002,116
GET,/city/info/Miami,361.1242499999996,115
GET,/health,365.0175420000004,43
GET,/city/Miami,368.9682910000016,59
GET,/routes/most-used,372.64279100000056,2821
GET,/routes/most-used,377.11262499999873,2821
GET,/city/Phoenix,378.4910000000003,63
GET,/routes/random-points?count=2,378.7898749999989,15
GET,/health,387.4573750000003,43
GET,/routes/most-used,389.87529099999915,2821
POST,/routes/heatmap,399.0284170000002,434
GET,/cities,396.38820900000127,957
GET,/city/Kansas%20City,397.32074999999867,66
GET,/routes/most-used?date=2025-11-01,404.54841599999725,2821
GET,/routes/random-points?count=4,408.38737500000025,29
GET,/routes/most-used,408.1300839999997,2821
GET,/cities,24.464541000000395,957
GET,/routes/random-points?count=5,411.5232500000019,36
GET,/routes/shortest?fromName=Houston&toName=Nashville,423.29166600000076,86
GET,/cities,424.87454200000127,957
GET,/cities,428.75312500000007,957
GET,/cities,8.69354199999961,957
POST,/routes/heatmap,7.052625000000035,434
GET,/city/Portland,4.286167000000063,63
GET,/health,3.623250000000411,43
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,11.242500000001598,102
GET,/routes/shortest?fromName=Boston&toName=Miami,10.64754100000087,107
POST,/routes/heatmap,6.236416000000133,434
GET,/routes/shortest?fromName=Houston&toName=Nashville,14.141249999997996,86
POST,/routes/heatmap,6.303040999998899,434
POST,/routes/heatmap,6.090874999998164,434
GET,/cities,3.612749999998499,957
POST,/routes/heatmap,6.7780410000004565,434
POST,/routes/heatmap,6.117708000001443,434
GET,/cities,5.959292000000005,957
POST,/routes/heatmap,6.698457999998908,434
GET,/routes/random-points?count=4,1.4472079999983123,29
POST,/routes/heatmap,6.640541999999527,434
GET,/routes/random-points?count=2,0.9936249999995539,15
POST,/routes/heatmap,10.432665999999813,434
GET,/routes/most-used?date=2025-11-01,12.40066700000142,2821
GET,/routes/most-used,12.62754199999705,2821
GET,/routes/most-used,15.005958999999791,2821
GET,/health,3.660959000001185,43
GET,/city/info/Boston,3.6976660000007655,116
GET,/city/Chicago,11.11458299999768,62
GET,/cities,11.652708999999817,957
GET,/health,10.995166000000722,43
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,14.628833999999813,102
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,14.286375000001073,134
GET,/cities,17.72225000000205,957
GET,/city/info/New%20York,18.03720900000272,120
GET,/health,31.02541599999853,43
POST,/routes/heatmap,52.13175000000092,434
GET,/routes/most-used?date=2025-11-01,52.11533399999979,2821
GET,/city/Nashville,59.066292000000686,64
GET,/health,58.932292000001496,43
GET,/routes/random-points?count=4,36.67433300000056,29
GET,/city/Chicago,62.16379099999969,62
GET,/cities,64.89012499999802,957
GET,/city/info/Phoenix,25.49587499999717,119
GET,/routes/random-points?count=3,25.095958000001417,22
GET,/city/info/Atlanta,79.79516700000033,117
GET,/city/info/Atlanta,79.59604099999851,117
GET,/routes/most-used,79.89129199999923,2821
GET,/city/Houston,102.34891700000048,62
GET,/routes/shortest?fromName=Phoenix&toName=Houston,101.15733299999974,82
GET,/routes/shortest?fromName=Denver&toName=Phoenix,101.4792920000005,80
GET,/routes/random-points?count=2,100.72704099999896,15
GET,/routes/random-points?count=1,102.71791699999966,8
GET,/health,104.31591700000098,43
GET,/city/info/Buffalo,143.03737500000224,117
GET,/routes/shortest?fromName=Phoenix&toName=Houston,141.9314170000021,82
POST,/routes/heatmap,142.78158299999788,434
GET,/routes/random-points?count=3,141.6922910000018,22
GET,/cities,44.298707999999465,957
POST,/routes/heatmap,60.96220799999941,434
GET,/routes/shortest?fromName=Phoenix&toName=Houston,143.42054100000112,82
GET,/cities,143.20162499999967,957
GET,/city/info/Los%20Angeles,146.28858300000047,124
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,153.82179199999868,102
GET,/routes/random-points?count=1,42.67170800000031,8
GET,/city/Nashville,168.18233300000074,64
POST,/routes/heatmap,170.39637499999927,434
GET,/routes/most-used?date=2025-11-01,55.72700000000097,2821
GET,/health,12.24362499999998,43
GET,/routes/random-points?count=4,173.76383300000242,29
GET,/routes/random-points?count=4,171.73125000000056,29
POST,/routes/heatmap,175.86920799999817,434
GET,/city/Seattle,177.8404999999985,61
GET,/health,180.5857919999987,43
GET,/routes/most-used?date=2025-11-01,189.04579100000163,2821
GET,/health,188.72550000000032,43
POST,/routes/heatmap,200.18862499999912,434
POST,/routes/heatmap,201.22929100000064,434
GET,/routes/shortest?fromName=Houston&toName=Nashville,209.71029200000046,86
GET,/health,6.161666000000565,43
GET,/health,211.80025000000313,43
GET,/cities,222.7659580000001,957
GET,/routes/most-used?date=2025-11-01,36.77233299999827,2821
GET,/routes/most-used,228.81229200000064,2821
GET,/city/Portland,28.838290999999572,63
GET,/routes/random-points?count=2,28.7493750000003,15
GET,/routes/most-used,236.31741599999856,2821
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,256.70979199999874,134
GET,/routes/shortest?fromName=Boston&toName=Miami,257.07379200000344,107
GET,/health,259.60033299999805,43
GET,/city/Los%20Angeles,269.1202920000002,66
GET,/cities,267.7219579999992,957
GET,/city/info/Portland,42.736417000000415,118
GET,/routes/random-points?count=4,44.94079199999845,29
GET,/routes/random-points?count=1,268.7091670000008,8
GET,/routes/shortest?fromName=Chicago&toName=Seattle,280.31995799999976,122
GET,/routes/shortest?fromName=Chicago&toName=Seattle,288.93075000000226,122
POST,/routes/heatmap,38.35879200000036,434
GET,/city/Houston,298.5333749999981,62
GET,/city/Boston,299.82324999999935,60
GET,/city/info/Miami,304.61062499999866,115
GET,/city/Kansas%20City,304.0097500000023,66
GET,/city/info/Salt%20Lake%20City,306.2640830000021,126
GET,/city/Seattle,34.922000000001674,61
GET,/cities,34.528708999999935,957
GET,/routes/shortest?fromName=Chicago&toName=Seattle,322.05945899999836,122
GET,/routes/random-points?count=1,322.03295900000126,8
GET,/cities,327.77916699999923,957
GET,/city/info/Miami,327.5327079999997,115
GET,/health,328.4152910000024,43
GET,/health,340.0695830000018,43
GET,/city/info/Nashville,340.85891700000207,119
POST,/routes/heatmap,340.56087499999774,434
GET,/routes/shortest?fromName=Denver&toName=Phoenix,51.85012500000141,80
GET,/city/Miami,65.32525000000078,59
GET,/city/info/Seattle,63.11866700000124,117
GET,/routes/most-used,55.46829100000039,2821
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,371.37762500000093,134
GET,/health,375.06712500000106,43
GET,/city/info/Kansas%20City,375.09641699999816,122
POST,/routes/heatmap,54.146000000002914,434
GET,/health,383.30854200000175,43
GET,/routes/most-used,392.2517499999998,2821
GET,/health,392.5257500000008,43
GET,/routes/shortest?fromName=Houston&toName=Nashville,64.48437499999926,86
GET,/routes/random-points?count=3,67.21895900000163,22
GET,/cities,419.7690420000022,957
GET,/city/Houston,67.7552499999976,62
POST,/routes/heatmap,56.311499999999626,434
GET,/routes/most-used,66.37395900000342,2821
GET,/routes/random-points?count=3,419.73379199999886,22
GET,/city/info/Nashville,43.3219170000001,119
GET,/cities,434.3769999999978,957
GET,/routes/most-used,52.73420800000039,2821
GET,/cities,44.45249999999845,957
GET,/city/info/Salt%20Lake%20City,33.2112500000008,126
GET,/routes/random-points?count=4,439.7007080000002,29
GET,/city/Nashville,44.472166000002034,64
GET,/city/Atlanta,442.21583399999884,61
GET,/city/info/Atlanta,444.52775000000247,117
GET,/routes/shortest?fromName=Denver&toName=Phoenix,454.12870899999905,80
GET,/cities,54.00883300000103,957
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,473.5235410000023,134
GET,/health,472.63779200000045,43
POST,/routes/heatmap,473.9527090000024,434
GET,/routes/shortest?fromName=Houston&toName=Nashville,486.96179200000245,86
GET,/cities,486.3234579999976,957
GET,/health,18.17400000000191,43
GET,/routes/shortest?fromName=Boston&toName=Miami,504.7842090000003,107
GET,/health,504.1155419999974,43
GET,/cities,52.21012499999844,957
GET,/cities,523.732583000001,957
GET,/city/info/Miami,58.59066700000071,115
GET,/cities,52.878917000001024,957
GET,/routes/shortest?fromName=Chicago&toName=Seattle,523.982874999998,122
GET,/health,15.3215419999988,43
GET,/routes/most-used,531.8632500000007,2821
GET,/city/info/Boston,62.71408399999956,116
POST,/routes/heatmap,60.54979199999977,434
GET,/city/Seattle,58.029417000000194,61
POST,/routes/heatmap,547.5980840000005,434
GET,/city/Atlanta,60.44945800000079,61
GET,/routes/random-points?count=3,71.96708299999699,22
POST,/routes/heatmap,49.43658399999862,434
POST,/routes/heatmap,564.2531670000004,434
GET,/health,10.609375000001364,43
GET,/routes/most-used?date=2025-11-01,64.26937499999852,2821
GET,/routes/shortest?fromName=Denver&toName=Phoenix,583.4715000000017,80
GET,/city/info/New%20York,583.4302079999993,120
GET,/routes/random-points?count=4,54.96929099999903,29
GET,/city/info/New%20York,591.8535829999989,120
GET,/routes/most-used,591.6387500000013,2821
GET,/routes/most-used?date=2025-11-01,53.76629199999883,2821
POST,/routes/heatmap,60.549667000000085,434
GET,/city/info/Seattle,60.0924169999999,117
GET,/cities,608.4044589999991,957
GET,/routes/random-points?count=2,613.4772919999989,15
GET,/health,612.4199590000003,43
GET,/city/info/Miami,613.5938339999996,115
GET,/routes/shortest?fromName=Denver&toName=Phoenix,647.554792000001,80
GET,/health,647.8724579999983,43
GET,/routes/most-used?date=2025-11-01,647.2862080000006,2821
GET,/routes/most-used,66.21816599999875,2821
POST,/routes/heatmap,59.77833300000057,434
GET,/routes/most-used?date=2025-11-01,648.0062910000015,2821
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,62.33641700000092,134
POST,/routes/heatmap,60.53050000000226,434
GET,/city/info/New%20York,665.6771669999983,120
POST,/routes/heatmap,65.6293330000004,434
GET,/city/info/Atlanta,673.022624999998,117
GET,/routes/random-points?count=2,43.99741699999993,15
GET,/city/Buffalo,37.690333000000464,62
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,15.303084000002798,134
GET,/health,4.009625000001904,43
GET,/cities,7.4731250000006355,957
GET,/city/info/Miami,4.088333000002109,115
GET,/routes/most-used,6.741083999997954,2821
GET,/routes/shortest?fromName=Phoenix&toName=Houston,15.09579200000033,82
GET,/cities,10.45491600000048,957
GET,/routes/shortest?fromName=Chicago&toName=Seattle,15.568667000000147,122
POST,/routes/heatmap,11.18016699999913,434
GET,/routes/most-used?date=2025-11-01,6.692250000000399,2821
GET,/routes/most-used,14.295833999998564,2821
GET,/city/New%20York,14.258208000001105,63
GET,/cities,4.021625000000029,957
GET,/city/info/Atlanta,3.5285840000014446,117
GET,/city/Nashville,3.7795000000002688,64
GET,/health,3.57400000000041,43
GET,/cities,3.8586669999993717,957
POST,/routes/heatmap,8.813041999999882,434
GET,/city/New%20York,3.378124999997567,63
GET,/routes/random-points?count=2,1.6710000000017544,15
GET,/routes/shortest?fromName=Houston&toName=Nashville,10.444916000000859,86
GET,/health,3.1225839999997618,43
GET,/routes/shortest?fromName=Boston&toName=Miami,11.645957999999013,107
GET,/cities,13.676832999998112,957
GET,/routes/random-points?count=4,10.33329199999855,29
GET,/cities,3.718165999998746,957
GET,/health,4.344916999997395,43
GET,/city/info/Kansas%20City,3.575290999997094,122
GET,/city/info/Phoenix,3.564374999999842,119
POST,/routes/heatmap,6.767457999998783,434
GET,/city/info/Portland,3.782791999999091,118
GET,/cities,3.970165999998443,957
GET,/city/Buffalo,3.832582999997669,62
GET,/city/info/Portland,5.622791000000404,118
GET,/cities,41.27820900000145,957
