Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/city/info/Chicago,27,0,7,12.448186814814528,3.7708750000007285,77.58783399999913,119.0,0.4500621249600127,0.0,7,8,10,12,33,50,78,78,78,78,78
GET,/city/info/Denver,27,0,9,9.87836418518463,3.574416999995833,29.041208000002428,116.0,0.4500621249600127,0.0,9,10,12,16,19,25,29,29,29,29,29
GET,/city/info/Houston,23,0,5,8.020586956521862,3.5080829999998286,24.401791999999034,119.0,0.38338625459556636,0.0,5,9,11,12,14,14,24,24,24,24,24
GET,/city/info/Kansas%20City,21,0,7,10.037749952380926,3.6330000000006635,45.608291000000634,122.0,0.3500483194133432,0.0,7,9,10,12,15,21,46,46,46,46,46
GET,/city/info/Los%20Angeles,26,0,6,9.691818961538564,4.062500000003411,54.65099999999978,124.0,0.4333931573689011,0.0,7,10,11,12,14,17,55,55,55,55,55
GET,/city/info/Miami,30,0,6,10.29248483333447,3.4220420000039553,65.43075000000087,115.0,0.5000690277333474,0.0,6,7,8,11,25,47,65,65,65,65,65
GET,/city/info/Nashville,24,0,7,12.290295166667242,3.7263749999993934,58.08425000000028,119.0,0.40005522218667794,0.0,9,10,12,12,25,57,58,58,58,58,58
GET,/city/info/New%20York,23,0,7,10.885523565217571,3.8805000000010637,45.332041000001766,120.0,0.38338625459556636,0.0,7,13,15,16,18,18,45,45,45,45,45
GET,/city/info/Phoenix,27,0,5,8.722097333334384,3.3723340000051394,30.498959000002657,119.0,0.4500621249600127,0.0,5,8,11,12,24,27,30,30,30,30,30
GET,/city/info/Portland,18,0,6,7.568555611111212,3.6997920000061413,18.072707999998272,118.0,0.30004141664000844,0.0,6,6,7,12,16,18,18,18,18,18,18
GET,/city/info/Salt%20Lake%20City,29,0,7,9.500234310344524,3.640125000003991,59.155333000003196,126.0,0.48340006014223585,0.0,7,8,8,12,18,24,59,59,59,59,59
GET,/city/info/Seattle,32,0,7,14.022343656249214,3.5384159999978237,92.56570800000219,117.0,0.5334069629155705,0.0,7,11,15,21,28,46,93,93,93,93,93
GET,/health,378,0,5,7.063846542328118,3.033000000002062,66.11129099999857,43.0,6.300869749440177,0.0,5,7,8,9,11,15,23,34,66,66,66
GET,/routes/most-used,210,0,10,13.78414048571425,6.2754589999940436,90.61637499999975,2821.0,3.500483194133432,0.0,10,12,15,17,20,40,63,68,91,91,91
GET,/routes/most-used?date=2025-11-01,217,0,10,13.00390111981567,6.372083999998779,78.88629099999989,2821.0,3.617165967271213,0.0,10,13,15,17,20,28,39,56,79,79,79
GET,/routes/random-points?count=1,74,0,3,6.049557418918321,0.8720000000010941,55.869249999997095,8.0,1.233503601742257,0.0,3,4,7,9,14,21,40,56,56,56,56
GET,/routes/random-points?count=2,85,0,3,5.638927941176482,1.0051249999918355,60.43879199999935,15.0,1.4168622452444843,0.0,3,4,6,7,10,18,56,60,60,60,60
GET,/routes/random-points?count=3,77,0,2,5.547246298700698,0.9588749999949187,65.98337499999829,22.0,1.2835105045155917,0.0,2,4,5,5,15,24,38,66,66,66,66
GET,/routes/random-points?count=4,93,0,2,5.638620935484053,0.9959580000042934,78.64741699999911,29.0,1.550213985973377,0.0,2,3,6,7,16,19,40,79,79,79,79
GET,/routes/random-points?count=5,85,0,2,6.256931788235299,1.0344999999958304,56.880499999998335,36.0,1.4168622452444843,0.0,2,5,6,9,17,23,42,57,57,57,57
GET,/routes/shortest?fromName=Atlanta&toName=Kansas%20City,58,0,15,19.99950931034539,11.02279199999856,76.64145799999744,102.0,0.9668001202844717,0.0,15,20,23,26,31,48,59,77,77,77,77
GET,/routes/shortest?fromName=Boston&toName=Miami,53,0,15,18.605327792453604,10.910624999993956,64.83258299999761,107.0,0.8834552823289138,0.0,15,20,22,22,28,30,46,65,65,65,65
GET,/routes/shortest?fromName=Chicago&toName=Seattle,45,0,17,20.967021333332763,11.011916000001065,72.84770800000118,122.0,0.7501035416000211,0.0,17,21,25,28,33,40,73,73,73,73,73
GET,/routes/shortest?fromName=Denver&toName=Phoenix,64,0,15,16.509346343749506,10.875749999996742,32.89941599999935,80.0,1.066813925831141,0.0,15,18,19,21,24,25,28,33,33,33,33
GET,/routes/shortest?fromName=Houston&toName=Nashville,59,0,15,17.489172389829527,10.819833999995865,56.73029199999746,86.0,0.9834690878755833,0.0,15,16,19,20,27,30,53,57,57,57,57
GET,/routes/shortest?fromName=New%20York&toName=Los%20Angeles,51,0,15,19.9737720588237,11.017875000000288,89.9679159999991,134.0,0.8501173471466906,0.0,15,19,22,22,27,52,70,90,90,90,90
GET,/routes/shortest?fromName=Phoenix&toName=Houston,51,0,16,19.52342237254914,10.188208000002419,66.25737500000284,82.0,0.8501173471466906,0.0,16,19,24,24,29,33,41,66,66,66,66
,Aggregated,2802,0,7,10.642762907565965,0.8720000000010941,92.56570800000219,615.5603140613847,46.70644719029465,0.0,7,11,13,15,20,28,48,65,90,93,93
